# Week 2 crawl of live Wikipedia, 2026-09-08. Edge A -> B when the article of A links to the article of B; both in data/week2_nodes.tsv. 602 nodes, 4082 edges.
source	target
Attuma	Tiger_Shark_(Marvel_Comics)
Awesome_Android	Rom_the_Space_Knight
Awesome_Android	She-Hulk
Awesome_Android	Super-Adaptoid
Backhand_(character)	Vyking
Balder_the_Brave	Fandral
Balder_the_Brave	Hercules_(Marvel_Comics)
Balder_the_Brave	Wrecker_(comics)
Barney_Barton	Egghead_(Marvel_Comics)
Barney_Barton	Mockingbird_(Marvel_Comics)
Barney_Barton	Norman_Osborn
Barney_Barton	Ronin_(Marvel_Comics)
Baron_Brimstone	Machine_Man
Baron_Brimstone	Orka_(character)
Baron_Brimstone	Paladin_(comics)
Baron_Brimstone	Spider-Man
Baron_Strucker	Hive_(character)
Baron_Strucker	Norman_Osborn
Baron_Strucker	Scorpio_(Marvel_Comics)
Baron_Von_Blitzschlag	Gauntlet_(Joseph_Green)
Baron_Von_Blitzschlag	Hank_Pym
Baron_Von_Blitzschlag	Norman_Osborn
Baron_Von_Blitzschlag	Ragnarok_(comics)
Baron_Von_Blitzschlag	Star-Lord
Baron_Von_Blitzschlag	Thin_Man_(character)
Baron_Von_Blitzschlag	Whizzer_(Robert_Frank)
Batroc_the_Leaper	Absorbing_Man
Batroc_the_Leaper	Agent_X_(Marvel_Comics)
Batroc_the_Leaper	Black_Panther_(character)
Batroc_the_Leaper	Deadpool
Batroc_the_Leaper	Gwenpool
Batroc_the_Leaper	Iron_Fist_(character)
Batroc_the_Leaper	Spider-Man
Batroc_the_Leaper	Tarantula_(Marvel_Comics)
Battlestar_(character)	Bucky_(Marvel_Comics)
Battlestar_(character)	Power_Broker_(character)
Battlestar_(character)	U.S._Agent
Batwing_(Marvel_Comics)	Hank_Pym
Batwing_(Marvel_Comics)	Lizard_(character)
Batwing_(Marvel_Comics)	Robbie_Baldwin
Batwing_(Marvel_Comics)	Spider-Man
Batwing_(Marvel_Comics)	Thor_Girl
Beta_Ray_Bill	Adam_Warlock
Beta_Ray_Bill	Gorr_the_God_Butcher
Beta_Ray_Bill	Hulk
Beta_Ray_Bill	Kurse_(comics)
Beta_Ray_Bill	Rom_the_Space_Knight
Beta_Ray_Bill	Spider-Man
Beta_Ray_Bill	Storm_(Marvel_Comics)
Beta_Ray_Bill	Super-Skrull
Beta_Ray_Bill	Thanos
Betsy_Braddock	Anole_(character)
Betsy_Braddock	Apocalypse_(character)
Betsy_Braddock	Black_Cat_(Marvel_Comics)
Betsy_Braddock	Brian_Braddock
Betsy_Braddock	Cable_(character)
Betsy_Braddock	Captain_Marvel_(Marvel_Comics)
Betsy_Braddock	Cyclops_(Marvel_Comics)
Betsy_Braddock	Danger_Room
Betsy_Braddock	Deadpool
Betsy_Braddock	Deathlok
Betsy_Braddock	Doctor_Nemesis
Betsy_Braddock	Doctor_Strange
Betsy_Braddock	Emma_Frost
Betsy_Braddock	Fury_(Marvel_Comics)
Betsy_Braddock	Hellion_(character)
Betsy_Braddock	Jean_Grey
Betsy_Braddock	Jubilee_(character)
Betsy_Braddock	Man-Thing
Betsy_Braddock	Master_Mold
Betsy_Braddock	Mister_Sinister
Betsy_Braddock	Mysterio
Betsy_Braddock	Nanny_and_Orphan-Maker
Betsy_Braddock	Northstar_(character)
Betsy_Braddock	Ogun_(comics)
Betsy_Braddock	Phoenix_Force
Betsy_Braddock	Predator_X_(character)
Betsy_Braddock	Puck_(Marvel_Comics)
Betsy_Braddock	Quicksilver_(Marvel_Comics)
Betsy_Braddock	Rachel_Summers
Betsy_Braddock	Rockslide_(character)
Betsy_Braddock	Sabretooth_(character)
Betsy_Braddock	Sapphire_Styx
Betsy_Braddock	Scarlet_Witch
Betsy_Braddock	Selene_(comics)
Betsy_Braddock	Slaymaster
Betsy_Braddock	Spider-Man
Betsy_Braddock	Storm_(Marvel_Comics)
Betsy_Braddock	Surge_(Marvel_Comics)
Betsy_Braddock	Vulcan_(Marvel_Comics)
Betsy_Braddock	Wolverine_(character)
Betsy_Braddock	Xorn
Beyonder	Doctor_Strange
Beyonder	Dracula_(Marvel_Comics)
Beyonder	Hank_Pym
Beyonder	Luke_Cage
Beyonder	Molecule_Man
Beyonder	Phoenix_Force
Beyonder	Rachel_Summers
Beyonder	Spider-Man
Beyonder	Thanos
Bi-Beast	Hulk
Bi-Beast	Quasar_(character)
Bi-Beast	She-Hulk
Bi-Beast	Thunderbolt_Ross
Bill_Foster_(character)	Black_Panther_(character)
Bill_Foster_(character)	Egghead_(Marvel_Comics)
Bill_Foster_(character)	Hank_Pym
Bill_Foster_(character)	Hercules_(Marvel_Comics)
Bill_Foster_(character)	Hulk
Bill_Foster_(character)	Iron_Fist_(character)
Bill_Foster_(character)	Jericho_Drumm
Bill_Foster_(character)	Luke_Cage
Bill_Foster_(character)	Mockingbird_(Marvel_Comics)
Bill_Foster_(character)	Moon_Knight
Bill_Foster_(character)	Nth_Man
Bill_Foster_(character)	Quasar_(character)
Bill_Foster_(character)	Ragnarok_(comics)
Bill_Foster_(character)	Spider-Man
Bill_Foster_(character)	Spider-Woman_(Jessica_Drew)
Birdy_(character)	Sabretooth_(character)
Black_Bolt	Absorbing_Man
Black_Bolt	Apocalypse_(character)
Black_Bolt	Blastaar
Black_Bolt	Gorgon_(Inhuman)
Black_Bolt	Hulk
Black_Bolt	Human_Torch
Black_Bolt	Karnak_(character)
Black_Bolt	Kristoff_Vernard
Black_Bolt	Metal_Master_(comics)
Black_Bolt	Quicksilver_(Marvel_Comics)
Black_Bolt	Ronan_the_Accuser
Black_Bolt	Sentry_(Robert_Reynolds)
Black_Bolt	Sphinx_(Marvel_Comics)
Black_Bolt	Spider-Man
Black_Bolt	Thanos
Black_Bolt	Ultron
Black_Bolt	Vulcan_(Marvel_Comics)
Black_Cat_(Marvel_Comics)	Beyonder
Black_Cat_(Marvel_Comics)	Blade_(character)
Black_Cat_(Marvel_Comics)	Doctor_Strange
Black_Cat_(Marvel_Comics)	Foreigner_(character)
Black_Cat_(Marvel_Comics)	Hobgoblin_(Marvel_Comics)
Black_Cat_(Marvel_Comics)	Hulk
Black_Cat_(Marvel_Comics)	Hydro-Man
Black_Cat_(Marvel_Comics)	Jericho_Drumm
Black_Cat_(Marvel_Comics)	Killraven
Black_Cat_(Marvel_Comics)	Lizard_(character)
Black_Cat_(Marvel_Comics)	Maestro_(character)
Black_Cat_(Marvel_Comics)	Mayday_Parker
Black_Cat_(Marvel_Comics)	Mister_Negative
Black_Cat_(Marvel_Comics)	Misty_Knight
Black_Cat_(Marvel_Comics)	Morbius
Black_Cat_(Marvel_Comics)	Norman_Osborn
Black_Cat_(Marvel_Comics)	Paladin_(comics)
Black_Cat_(Marvel_Comics)	Scarlet_Spider
Black_Cat_(Marvel_Comics)	Silvermane
Black_Cat_(Marvel_Comics)	Spider-Man
Black_Cat_(Marvel_Comics)	Spider-Man_Noir
Black_Cat_(Marvel_Comics)	Spider-Woman_(Jessica_Drew)
Black_Cat_(Marvel_Comics)	Tinkerer_(Marvel_Comics)
Black_Cat_(Marvel_Comics)	Wolverine_(character)
Black_Fox_(Robert_Paine)	Ultron
Black_Jack_Tarr	Shang-Chi
Black_Jack_Tarr	Zheng_Zu
Black_Knight_(Marvel_Comics)	Black_Knight_(Nathan_Garrett)
Black_Knight_(Marvel_Comics)	Black_Panther_(character)
Black_Knight_(Marvel_Comics)	Doctor_Strange
Black_Knight_(Marvel_Comics)	Dracula_(Marvel_Comics)
Black_Knight_(Marvel_Comics)	Hank_Pym
Black_Knight_(Nathan_Garrett)	Black_Knight_(Marvel_Comics)
Black_Knight_(Nathan_Garrett)	Dreadknight
Black_Knight_(Nathan_Garrett)	Hank_Pym
Black_Mariah	Alex_Wilder
Black_Mariah	Iron_Fist_(character)
Black_Mariah	Janice_Lincoln
Black_Mariah	Luke_Cage
Black_Mariah	Tombstone_(character)
Black_Marvel	Spider-Man
Black_Marvel	Whizzer_(Robert_Frank)
Black_Panther_(character)	Bill_Foster_(character)
Black_Panther_(character)	Black_Bolt
Black_Panther_(character)	Deadpool
Black_Panther_(character)	Deathlok
Black_Panther_(character)	Doctor_Strange
Black_Panther_(character)	Hate-Monger
Black_Panther_(character)	Luke_Cage
Black_Panther_(character)	Misty_Knight
Black_Panther_(character)	Scarlet_Witch
Black_Panther_(character)	Shuri_(character)
Black_Panther_(character)	Storm_(Marvel_Comics)
