# Week 2 crawl of live Wikipedia, 2026-09-08. Heroes = the frozen week-1 roster, villains = Category:Marvel Comics supervillains (no redirects, lists, teams or disambiguation pages).
# side: hero | villain | both. debut_year from the infobox, blank when not found.
node_id	name	side	debut_year	url
Blue_Diamond_(character)	Blue Diamond (character)	hero	1941	https://en.wikipedia.org/wiki/Blue_Diamond_%28character%29
Blue_Eagle_(character)	Blue Eagle (character)	hero	1971	https://en.wikipedia.org/wiki/Blue_Eagle_%28character%29
Blue_Marvel	Blue Marvel	hero	2008	https://en.wikipedia.org/wiki/Blue_Marvel
Bob,_Agent_of_Hydra	Bob, Agent of Hydra	hero	2007	https://en.wikipedia.org/wiki/Bob%2C_Agent_of_Hydra
Bonebreaker	Bonebreaker	villain	1988	https://en.wikipedia.org/wiki/Bonebreaker
Box_(comics)	Box (comics)	hero	1983	https://en.wikipedia.org/wiki/Box_%28comics%29
Brain_Drain_(character)	Brain Drain (character)	both	1975	https://en.wikipedia.org/wiki/Brain_Drain_%28character%29
Breeze_Barton	Breeze Barton	hero	1940	https://en.wikipedia.org/wiki/Breeze_Barton
Brent_Jackson	Brent Jackson	villain	2001	https://en.wikipedia.org/wiki/Brent_Jackson
Brian_Braddock	Brian Braddock	hero	1976	https://en.wikipedia.org/wiki/Brian_Braddock
Bucky_(Marvel_Comics)	Bucky (Marvel Comics)	hero	1941	https://en.wikipedia.org/wiki/Bucky_%28Marvel_Comics%29
Bug_(Marvel_Comics)	Bug (Marvel Comics)	hero	1979	https://en.wikipedia.org/wiki/Bug_%28Marvel_Comics%29
Bulldozer_(character)	Bulldozer (character)	villain	1974	https://en.wikipedia.org/wiki/Bulldozer_%28character%29
Bullseye_(Marvel_Comics)	Bullseye (Marvel Comics)	villain	1976	https://en.wikipedia.org/wiki/Bullseye_%28Marvel_Comics%29
Bushman_(character)	Bushman (character)	villain	1980	https://en.wikipedia.org/wiki/Bushman_%28character%29
Bushwacker_(comics)	Bushwacker (comics)	villain	1987	https://en.wikipedia.org/wiki/Bushwacker_%28comics%29
Cable_(character)	Cable (character)	hero	1986	https://en.wikipedia.org/wiki/Cable_%28character%29
Cammi_(character)	Cammi (character)	hero	2005	https://en.wikipedia.org/wiki/Cammi_%28character%29
Captain_Atlas	Captain Atlas	villain	1990	https://en.wikipedia.org/wiki/Captain_Atlas
Captain_Marvel_(Khn'nr)	Captain Marvel (Khn'nr)	hero	2007	https://en.wikipedia.org/wiki/Captain_Marvel_%28Khn%27nr%29
Captain_Marvel_(Marvel_Comics)	Captain Marvel (Marvel Comics)	hero		https://en.wikipedia.org/wiki/Captain_Marvel_%28Marvel_Comics%29
Captain_Midlands	Captain Midlands	hero	2007	https://en.wikipedia.org/wiki/Captain_Midlands
Captain_Ultra	Captain Ultra	hero	1976	https://en.wikipedia.org/wiki/Captain_Ultra
Captain_Universe	Captain Universe	hero	1979	https://en.wikipedia.org/wiki/Captain_Universe
Caretaker_(comics)	Caretaker (comics)	hero	2008	https://en.wikipedia.org/wiki/Caretaker_%28comics%29
Carrion_(comics)	Carrion (comics)	villain	1978	https://en.wikipedia.org/wiki/Carrion_%28comics%29
Ch'od	Ch'od	hero	1977	https://en.wikipedia.org/wiki/Ch%27od
Champion_of_the_Universe	Champion of the Universe	villain	1982	https://en.wikipedia.org/wiki/Champion_of_the_Universe
Charcoal_(comics)	Charcoal (comics)	both	1998	https://en.wikipedia.org/wiki/Charcoal_%28comics%29
Chase_Stein	Chase Stein	hero	2003	https://en.wikipedia.org/wiki/Chase_Stein
Chondu_the_Mystic	Chondu the Mystic	villain	1960	https://en.wikipedia.org/wiki/Chondu_the_Mystic
Citizen_V	Citizen V	hero	1942	https://en.wikipedia.org/wiki/Citizen_V
Cloak_and_Dagger_(characters)	Cloak and Dagger (characters)	hero	1982	https://en.wikipedia.org/wiki/Cloak_and_Dagger_%28characters%29
Cobra_(Marvel_Comics)	Cobra (Marvel Comics)	villain	1963	https://en.wikipedia.org/wiki/Cobra_%28Marvel_Comics%29
Cockroach_Hamilton	Cockroach Hamilton	villain	1975	https://en.wikipedia.org/wiki/Cockroach_Hamilton
Coldblood	Coldblood	hero	1989	https://en.wikipedia.org/wiki/Coldblood
Condor_(comics)	Condor (comics)	villain	1976	https://en.wikipedia.org/wiki/Condor_%28comics%29
Controller_(Marvel_Comics)	Controller (Marvel Comics)	villain	1969	https://en.wikipedia.org/wiki/Controller_%28Marvel_Comics%29
Copperhead_(Marvel_Comics)	Copperhead (Marvel Comics)	villain	1975	https://en.wikipedia.org/wiki/Copperhead_%28Marvel_Comics%29
Cottonmouth_(Burchell_Clemens)	Cottonmouth (Burchell Clemens)	villain	1985	https://en.wikipedia.org/wiki/Cottonmouth_%28Burchell_Clemens%29
Cottonmouth_(Cornell_Stokes)	Cottonmouth (Cornell Stokes)	villain	1974	https://en.wikipedia.org/wiki/Cottonmouth_%28Cornell_Stokes%29
Crane_Mother	Crane Mother	hero	2007	https://en.wikipedia.org/wiki/Crane_Mother
Crippler_(character)	Crippler (character)	both	1991	https://en.wikipedia.org/wiki/Crippler_%28character%29
Cyber_(Marvel_Comics)	Cyber (Marvel Comics)	villain	1991	https://en.wikipedia.org/wiki/Cyber_%28Marvel_Comics%29
Cyclops_(Marvel_Comics)	Cyclops (Marvel Comics)	hero	1963	https://en.wikipedia.org/wiki/Cyclops_%28Marvel_Comics%29
